HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,N_UNITS,LI_UNITS,YR_PIS,NONPROG,
"DEA20114004","GREENSIDE MANOR","504 CYPRESS DR.","SEAFORD",DE,"19973",38.648746490478,-75.62110137939,40,0,2011,,
"DEA20114005","MONROE TERRACE","606 N. JEFFERSON STREET","WILMINGTON",DE,"19801",39.743968963623,-75.55513000488,35,0,2011,,
"DEA20123001","BAYARD PLAZA","206 W. LOOCKERMAN STREET","DOVER",DE,"19901",39.157459259033,-75.52707672119,48,0,2012,,
"DEA20123002","CARVEL GARDENS","P.O. BOX 635 3000 DANIEL STREET","LAUREL",DE,"19956",38.541400909423,-75.56289672851,100,0,2012,,
"DEA20123003","HAMPTON CIRCLE","600 HAMPTON CIRCLE","SEAFORD",DE,"19973",38.656513214111,-75.60607910156,35,0,2012,,
"DEA20123004","HERON RUN","363 EAST COMMERCE STREET","SMYRNA",DE,"19977",39.304306030273,-75.59949493408,40,0,2012,,
"DEA20130003","DUNBARTON OAKS III","500 MARGARET STREET APT 1401","GEORGETOWN",DE,"19947",38.689765930175,-75.39518737792,32,0,2013,,
"DEA20132001","BUFORD MANLOVE MANOR","408 KIAMENSI ROAD","WILMINGTON",DE,"19804",39.722564697265,-75.62368011474,40,0,2013,,
"DEA20132002","CASCADES","151 CASCADES LANE","MILFORD",DE,"19963",38.926517486572,-75.44261932373,76,0,2013,,
"DEA20132005","NORTH LAKE VILLAGE I","400 N. CATHERINE STREET #31","MIDDLETOWN",DE,"19709",39.454311370849,-75.71397399902,42,0,2013,,
"DEA20132006","NORTH LAKE VILLAGE II","400 N. CATHERINE STREET #31","MIDDLETOWN",DE,"19709",39.454311370849,-75.71397399902,10,0,2013,,
"DEA20132007","STONEYBROOK APARTMENTS","1117 CEDARTREE COURT","CLAYMONT",DE,"19703",39.814163208007,-75.46061706542,145,0,2013,,
"DEA20140133","LINCOLN TOWERS","1800 N. DUPONT STREET","WILMINGTON",DE,"19806",39.758518218994,-75.56132507324,88,87,2014,,
"DEA20140134","CLAYMONT STREET APARTMENTS (2013)","1300 EAST 16TH AND CLAYMONT ST","WILMINGTON",DE,"19801",39.744003295898,-75.53013610839,29,29,2014,,
"DEA20141002","WALNUT STREET APARTMENTS AKA JAZZ COURT","313 E FOURTEENTH STREET","WILMINGTON",DE,"19801",39.747890472412,-75.54191589355,44,0,2014,,
"DEA20150001","CARLETON COURT APARTMENTS","1900 SOUTHWAY DRIVE","NEWARK",DE,"19713",39.676872253418,-75.72652435302,100,0,2015,,
"DEA20151001","ALDER CREEK","101 TERRACE DRIVE","NEWARK",DE,"19711",39.687480926513,-75.73865509033,56,0,2015,,
"DEA20151003","LOFTS AT CLIFFORD BROWN WALK","1320 CLIFFORD BROWN WALK","WILMINGTON",DE,"19801",39.746662139892,-75.54168701171,80,0,2015,,
"DEA20151004","MARKET STREET VILLAGE","322 A STREET, SUITE 200","WILMINGTON",DE,"19801",39.733432769775,-75.55134582519,76,0,2015,,
"DEA20151005","VILLAGE AT MCKEE BRANCH","36 HARMONY LANE","DOVER",DE,"19904",39.167076110839,-75.55967712402,66,0,2015,,
"DEA20153003","JEFFERSON ESTATES","825 KINGS HIGHWAY APT. 101","LEWES",DE,"19958",38.762916564941,-75.14418792724,39,0,2015,,
"DEA20160001","CHANDLER HEIGHTS II","CLEMENTINE COURT","SEAFORD",DE,"19973",38.668998718261,-75.60720062255,28,0,2016,,
"DEA20160002","MEADOWBRIDGE APARTMENTS","112 SOUTH TULL DRIVE","SEAFORD",DE,"19973",38.648929595947,-75.63179779052,104,0,2016,,
"DEA20160003","THE FLATS, PHASE I","525 NORTH UNION STREET","WILMINGTON",DE,"19805",39.750373840332,-75.57247161865,72,0,2016,,
"DEA20162002","MAIN TOWERS","330 E. MAIN STREET","NEWARK",DE,"19711",39.684352874755,-75.73914337158,149,150,2016,,
"DEA20172001","LIBERTY COURT PERSERVATION, LP","18 THE GREEN","DOVER",DE,"19901",39.156379699707,-75.52452850341,100,0,2017,,
"DEA20172002","WHATCOAT VILLAGE","992 WHATCOAT DRIVE","DOVER",DE,"19904",39.167282104492,-75.54526519775,78,0,2017,,
"DEA20181001","CHELTEN APARTMENTS","431 OLD FORGE ROAD","NEW CASTLE",DE,"19720",39.652454376220,-75.62706756591,120,0,2018,,
"DEA20181002","JEFFERSON ESTATES II","825 KINGS HIGHWAY","LEWES",DE,"19958",38.762916564941,-75.14418792724,32,0,2018,,
"DEA20181003","PEARL CENTER","300 EAST 8TH STREET","WILMINGTON",DE,"19801",39.742156982421,-75.54663085937,51,0,2018,,
"DEA20181004","THE FLATS, PHASE II","601 NORTH UNION STREET","WILMINGTON",DE,"19805",39.750827789306,-75.57216644287,72,0,2018,,
